bug,opened_date
504180,20090714
496973,20090608
628152,20110123
803022,20121018
343868,20060707
468645,20081209
431250,20080428
580913,20100722
777225,20120724
631453,20110203
616117,20101202
485134,20090325
695848,20111019
382356,20070529
635519,20110219
624816,20110111
623638,20110106
638074,20110302
486805,20090403
603918,20101013
550258,20100304
795728,20120930
795729,20120930
687768,20110919
444813,20080711
745141,20120413
546301,20100215
293460,20050509
745142,20120413
578977,20100715
336466,20060503
563242,20100502
624109,20110108
797982,20121004
545960,20100212
676571,20110804
671250,20110713
536617,20091223
646151,20110329
539474,20100113
537630,20100103
441360,20080623
617649,20101208
724812,20120207
491722,20090506
765671,20120618
658479,20110520
432284,20080505
629487,20110127
556620,20100401
355104,20061002
723659,20120202
823951,20121221
391132,20070806
823955,20121221
628710,20110125
628711,20110125
752391,20120506
768560,20120626
528798,20091115
790743,20120912
798383,20121005
530728,20091123
256297,20040820
470409,20081219
584447,20100804
757413,20120522
752176,20120505
619021,20101214
521169,20091007
540182,20100116
94546,20010809
421213,20080305
521164,20091007
644796,20110324
734552,20120309
156650,20020710
709479,20111210
771082,20120705
601457,20101003
814736,20121123
218556,20030907
709474,20111210
548685,20100225
272286,20041129
511575,20090819
696018,20111020
640473,20110309
597743,20100918
665683,20110620
721025,20120125
611171,20101110
306319,20050829
705407,20111126
629004,20110126
561264,20100422
725733,20120209
789379,20120906
811389,20121113
525517,20091030
511757,20090820
511756,20090820
511759,20090820
737118,20120319
778619,20120729
355594,20061005
638245,20110302
764336,20120613
734129,20120308
764334,20120613
759706,20120530
305995,20050825
361835,20061125
361389,20061121
712572,20111221
162516,20020813
561652,20100425
673028,20110720
723894,20120203
532702,20091203
532700,20091203
653449,20110428
816263,20121128
673023,20110720
414451,20080128
377960,20070418
656390,20110511
327420,20060216
503237,20090708
496011,20090602
489577,20090422
303901,20050808
401240,20071026
813527,20121120
354645,20060928
615492,20101130
536379,20091222
807442,20121031
720816,20120124
514589,20090903
806319,20121029
698226,20111029
686177,20110910
761963,20120606
505395,20090720
806315,20121029
555087,20100325
670429,20110709
332971,20060406
605744,20101020
605746,20101020
646557,20110330
569525,20100601
702387,20111114
819481,20121207
780616,20120806
377783,20070417
780611,20120806
80105,20010510
702650,20111115
439817,20080617
763185,20120609
345529,20060721
348126,20060809
627092,20110119
340733,20060607
564390,20100507
482809,20090311
488046,20090412
205735,20030514
637618,20110301
763237,20120609
791826,20120917
613436,20101118
613439,20101118
510938,20090817
676499,20110804
676492,20110804
641026,20110311
676494,20110804
806174,20121028
806175,20121028
749958,20120428
387460,20070709
351964,20060909
621009,20101222
626052,20110115
561019,20100421
734948,20120312
725945,20120210
737942,20120321
658393,20110519
708715,20111208
708248,20111207
548274,20100224
516182,20090912
398088,20070930
658649,20110520
546565,20100216
760768,20120601
760769,20120602
794243,20120925
724014,20120203
589843,20100823
819291,20121207
782501,20120813
168523,20020913
604653,20101015
543593,20100201
744975,20120412
637078,20110226
778445,20120728
569049,20100529
525725,20091101
731812,20120229
731813,20120229
557932,20100407
584303,20100804
680475,20110819
598190,20100920
294833,20050519
369757,20070208
540243,20100116
547210,20100219
334276,20060416
751839,20120504
478478,20090213
536614,20091223
616288,20101202
607305,20101026
460042,20081015
647400,20110401
538267,20100106
819035,20121206
668965,20110702
383977,20070610
819745,20121209
635756,20110221
639225,20110305
707147,20111202
552616,20100315
635532,20110219
700288,20111107
458645,20081005
602373,20101006
638058,20110302
441714,20080624
402034,20071101
389194,20070722
560796,20100421
557557,20100406
560083,20100418
647890,20110405
622962,20110104
531125,20091125
660905,20110531
583952,20100802
806781,20121030
806786,20121030
657585,20110517
657587,20110517
671271,20110713
676550,20110804
671276,20110713
548545,20100225
668565,20110630
302536,20050728
669894,20110707
600953,20100930
645361,20110326
649795,20110413
817290,20121201
270042,20041115
591695,20100828
353264,20060918
723676,20120202
622294,20101231
626606,20110118
474080,20090116
626608,20110118
683664,20110831
470649,20081221
668945,20110701
162691,20020814
587339,20100814
160182,20020730
538724,20100108
538722,20100108
685625,20110908
536960,20091228
628735,20110125
609687,20101104
622039,20101229
637267,20110228
637268,20110228
637269,20110228
578045,20100712
611543,20101111
549911,20100303
549914,20100303
367285,20070117
534672,20091214
655451,20110506
534676,20091214
596484,20100914
657962,20110518
664916,20110616
705562,20111127
619048,20101214
619049,20101214
698296,20111030
695666,20111019
619043,20101214
570150,20100604
787810,20120902
619044,20101214
619045,20101214
676240,20110803
682538,20110827
620521,20101220
727753,20120216
727759,20120216
795308,20120928
351116,20060901
607469,20101026
598052,20100920
792626,20120919
694968,20111017
552083,20100312
663494,20110610
688577,20110922
725280,20120208
764171,20120612
483480,20090314
523263,20091019
523260,20091019
616675,20101204
642017,20110315
751139,20120502
763896,20120612
629120,20110126
763892,20120612
763891,20120612
751131,20120502
344557,20060713
537379,20091231
671916,20110715
706039,20111129
338129,20060516
590883,20100826
463560,20081106
597333,20100916
716302,20120107
782267,20120813
461053,20081021
716304,20120107
606222,20101021
597337,20100917
588210,20100817
606225,20101021
120629,20020117
516427,20090914
642329,20110316
590088,20100824
503709,20090711
590083,20100824
632756,20110209
350793,20060830
736220,20120315
744175,20120410
515211,20090908
515217,20090908
625351,20110113
639549,20110307
678189,20110811
570715,20100608
653981,20110501
678181,20110811
653980,20110501
167673,20020910
660850,20110531
679859,20110817
504392,20090715
741189,20120401
262468,20041001
366320,20070108
599860,20100927
106097,20011022
809322,20121106
328184,20060222
786076,20120827
605998,20101020
722083,20120128
657137,20110514
795685,20120930
553801,20100320
559456,20100414
742631,20120404
761946,20120606
801419,20121014
712940,20111222
604814,20101015
812822,20121117
616931,20101206
604818,20101015
667673,20110627
636052,20110222
806192,20121028
743767,20120409
564008,20100505
520113,20091001
577201,20100707
528345,20091112
639885,20110308
466318,20081122
346014,20060726
715885,20120106
655241,20110506
545333,20100209
781272,20120808
516169,20090912
781279,20120808
600152,20100928
600150,20100928
356325,20061011
720232,20120122
600158,20100928
463350,20081105
720234,20120122
723029,20120201
440195,20080618
788741,20120905
798758,20121006
788291,20120904
814051,20121121
728030,20120216
518811,20090925
713300,20111223
347053,20060802
692050,20111005
639405,20110306
516307,20090913
612890,20101117
777914,20120726
756119,20120517
684308,20110902
750983,20120501
767890,20120625
553581,20100319
594884,20100909
612768,20101116
591547,20100827
606413,20101022
606414,20101022
606417,20101022
606416,20101022
606419,20101022
339315,20060526
614392,20101123
547230,20100219
783655,20120817
712302,20111220
750672,20120501
533395,20091207
812225,20121115
783383,20120816
693892,20111011
696603,20111022
628207,20110123
59203,20001105
552697,20100316
647424,20110402
705613,20111128
782384,20120813
774579,20120716
643515,20110321
819013,20121206
785766,20120826
760957,20120603
760955,20120603
631149,20110202
760952,20120603
812047,20121114
761021,20120603
563343,20100503
646287,20110329
536795,20091226
750180,20120430
744728,20120412
744727,20120412
799830,20121009
545692,20100211
545927,20100212
786233,20120828
615518,20101130
706834,20111201
816765,20121129
664200,20110614
481302,20090303
349463,20060820
605335,20101018
310267,20050927
558130,20100408
501616,20090701
801336,20121013
418384,20080219
767706,20120623
609330,20101103
723612,20120202
735977,20120314
596245,20100914
801624,20121015
596242,20100914
567059,20100519
668924,20110701
662989,20110608
578066,20100712
329399,20060305
599637,20100925
530764,20091124
586806,20100812
469439,20081212
429678,20080418
709613,20111211
616899,20101205
427524,20080407
707873,20111205
597260,20100916
597262,20100916
619060,20101214
504308,20090715
795923,20121001
584403,20100804
584404,20100804
433594,20080513
543436,20100201
638634,20110303
552960,20100317
660589,20110529
660588,20110529
574350,20100624
682518,20110827
768831,20120627
636261,20110223
560584,20100420
456196,20080920
529087,20091116
382941,20070602
695029,20111017
564612,20100508
763702,20120611
517795,20090920
564619,20100508
565693,20100513
571803,20100613
662568,20110607
76226,20010416
574727,20100625
666225,20110622
532482,20091202
588158,20100817
734167,20120308
681099,20110822
637120,20110227
496581,20090605
595635,20100912
819464,20121207
373533,20070311
464009,20081110
656354,20110511
629001,20110126
464007,20081110
630000,20110130
558955,20100412
405783,20071128
720100,20120121
567877,20100524
630957,20110202
589207,20100820
396829,20070919
529371,20091117
526398,20091103
570863,20100608
526391,20091103
526390,20091103
680274,20110818
537822,20100104
537828,20100104
773173,20120712
522671,20091016
404785,20071121
404787,20071121
755211,20120515
729401,20120221
696419,20111021
489533,20090422
423415,20080317
423418,20080317
372373,20070302
780658,20120806
700273,20111107
631607,20110204
807596,20121101
587877,20100816
587879,20100816
763162,20120609
787067,20120830
450455,20080813
806350,20121029
806353,20121029
558309,20100409
676458,20110803
691723,20111004
53094,20000918
632871,20110209
617297,20101207
523815,20091022
523819,20091022
627238,20110119
772223,20120709
619529,20101215
665963,20110621
