file,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
/Users/petitdino/Desktop/fennec_code/fennec16/media/webrtc/trunk/src/modules/audio_coding/codecs/ilbc/enhancer_interface.c,381,35,1,4,0.34
/Users/petitdino/Desktop/fennec_code/fennec16/media/webrtc/trunk/src/modules/audio_coding/codecs/ilbc/defines.h,219,0,0,0,1.22
/Users/petitdino/Desktop/fennec_code/fennec16/media/webrtc/trunk/src/modules/audio_coding/codecs/ilbc/constants.h,92,0,0,0,0.67
/Users/petitdino/Desktop/fennec_code/fennec16/media/webrtc/trunk/src/modules/audio_coding/codecs/ilbc/xcorr_coef.h,38,0,0,0,3.25
/Users/petitdino/Desktop/fennec_code/fennec16/media/webrtc/trunk/src/modules/audio_coding/codecs/ilbc/enhancer.h,39,0,0,0,3.00
/Users/petitdino/Desktop/fennec_code/fennec16/media/webrtc/trunk/src/modules/audio_coding/codecs/ilbc/hp_output.h,34,0,0,0,4.00
/Users/petitdino/Desktop/fennec_code/fennec16/media/webrtc/trunk/src/common_audio/signal_processing/include/signal_processing_library.h,1677,0,0,0,4.00
/Users/petitdino/Desktop/fennec_code/fennec16/tools/reorder/addrs2text.cpp,33,4,1,2,0.60
/Users/petitdino/Desktop/fennec_code/fennec16/security/manager/ssl/src/nsNSSCertificateFakeTransport.h,37,0,0,0,0.38
/Users/petitdino/Desktop/fennec_code/fennec16/security/manager/ssl/src/nsNSSShutDown.h,308,1,9,2,0.95
/Users/petitdino/Desktop/fennec_code/fennec16/security/manager/ssl/src/nsNSSCertHeader.h,18,0,0,0,0.00
/Users/petitdino/Desktop/fennec_code/fennec16/netwerk/streamconv/converters/nsUnknownDecoder.cpp,687,6,20,5,0.30
/Users/petitdino/Desktop/fennec_code/fennec16/netwerk/streamconv/converters/nsUnknownDecoder.h,137,0,0,0,1.00
/Users/petitdino/Desktop/fennec_code/fennec16/netwerk/mime/nsMimeTypes.h,200,0,0,0,0.00
/Users/petitdino/Desktop/fennec_code/fennec16/netwerk/base/public/netCore.h,14,0,0,0,0.00
/Users/petitdino/Desktop/fennec_code/fennec16/xpcom/string/public/nsXPIDLString.h,14,0,0,0,0.00
/Users/petitdino/Desktop/fennec_code/fennec16/xpcom/ds/nsCRT.h,195,1,20,1,0.83
/Users/petitdino/Desktop/fennec_code/fennec16/netwerk/build/nsNetCID.h,1046,0,0,0,0.00
/Users/petitdino/Desktop/fennec_code/fennec16/xpcom/base/nscore.h,469,0,0,0,60.00
/Users/petitdino/Desktop/fennec_code/fennec16/xpcom/base/nsError.h,285,0,0,0,46.00
/Users/petitdino/Desktop/fennec_code/fennec16/xpcom/glue/nsISupportsImpl.h,1455,2,17,4,1.58
/Users/petitdino/Desktop/fennec_code/fennec16/xpcom/glue/nsDebug.h,339,0,0,0,16.50
/Users/petitdino/Desktop/fennec_code/fennec16/xpcom/string/public/nsLiteralString.h,89,0,0,0,6.50
/Users/petitdino/Desktop/fennec_code/fennec16/nsprpub/pr/src/md/beos/bseg.c,22,1,3,0,0.31
/Users/petitdino/Desktop/fennec_code/fennec16/nsprpub/pr/include/private/primpl.h,2100,0,0,0,0.80
/Users/petitdino/Desktop/fennec_code/fennec16/nsprpub/pr/include/prtypes.h,540,0,0,0,12.56
/Users/petitdino/Desktop/fennec_code/fennec16/nsprpub/pr/include/prerr.h,249,0,0,0,87.00
/Users/petitdino/Desktop/fennec_code/fennec16/media/webrtc/trunk/src/modules/audio_coding/codecs/ilbc/enhancer_interface.h,34,0,0,0,4.60
/Users/petitdino/Desktop/fennec_code/fennec16/media/webrtc/trunk/tools/gyp/test/mac/postbuild-fail/file.c,6,1,1,0,4.00
/Users/petitdino/Desktop/fennec_code/fennec16/nsprpub/pr/src/misc/prerr.c,97,1,1,0,0.11
/Users/petitdino/Desktop/fennec_code/fennec16/nsprpub/pr/include/prerror.h,294,0,0,0,5.45
/Users/petitdino/Desktop/fennec_code/fennec16/gfx/cairo/cairo/src/cairo-path-in-fill.c,291,5,9,5,0.21
/Users/petitdino/Desktop/fennec_code/fennec16/gfx/cairo/cairo/src/cairoint.h,2584,1,11,1,0.10
/Users/petitdino/Desktop/fennec_code/fennec16/gfx/cairo/cairo/src/cairo-path-fixed-private.h,165,2,3,1,0.45
/Users/petitdino/Desktop/fennec_code/fennec16/gfx/cairo/cairo/src/cairo-mutex-private.h,67,0,0,0,20.50
/Users/petitdino/Desktop/fennec_code/fennec16/gfx/cairo/cairo/src/cairo-mutex-type-private.h,194,0,0,0,28.50
/Users/petitdino/Desktop/fennec_code/fennec16/gfx/cairo/cairo/src/cairo-compiler-private.h,272,0,0,0,0.00
/Users/petitdino/Desktop/fennec_code/fennec16/gfx/cairo/cairo/src/cairo.h,2729,0,0,0,1.14
/Users/petitdino/Desktop/fennec_code/fennec16/gfx/cairo/cairo/src/cairo-mutex-list-private.h,74,0,0,0,3.78
/Users/petitdino/Desktop/fennec_code/fennec16/content/xslt/src/xslt/txMozillaStylesheetCompiler.cpp,742,5,40,5,0.05
/Users/petitdino/Desktop/fennec_code/fennec16/xpcom/glue/nsCOMArray.h,277,1,37,0,0.56
/Users/petitdino/Desktop/fennec_code/fennec16/intl/locale/public/nsCharsetAlias.h,23,0,0,0,0.56
/Users/petitdino/Desktop/fennec_code/fennec16/content/base/public/nsIDocument.h,2071,1,104,1,1.08
/Users/petitdino/Desktop/fennec_code/fennec16/content/base/public/nsINameSpaceManager.h,74,1,1,0,1.50
/Users/petitdino/Desktop/fennec_code/fennec16/content/base/public/nsINodeInfo.h,355,1,31,1,0.68
/Users/petitdino/Desktop/fennec_code/fennec16/parser/htmlparser/public/nsIParser.h,312,1,2,0,1.92
/Users/petitdino/Desktop/fennec_code/fennec16/parser/nsCharsetSource.h,28,0,0,0,0.00
/Users/petitdino/Desktop/fennec_code/fennec16/content/base/public/nsContentPolicyUtils.h,287,13,3,6,1.29
/Users/petitdino/Desktop/fennec_code/fennec16/content/base/src/nsSyncLoadService.h,56,0,0,0,1.71
/Users/petitdino/Desktop/fennec_code/fennec16/content/xml/document/public/nsIXMLContentSink.h,57,1,1,0,2.25
/Users/petitdino/Desktop/fennec_code/fennec16/netwerk/base/public/nsNetUtil.h,2052,4,86,4,0.20
/Users/petitdino/Desktop/fennec_code/fennec16/parser/htmlparser/public/nsParserCIID.h,39,0,0,0,0.00
/Users/petitdino/Desktop/fennec_code/fennec16/content/base/src/nsGkAtoms.h,34,0,0,0,4.25
/Users/petitdino/Desktop/fennec_code/fennec16/content/xslt/src/base/txLog.h,34,0,0,0,0.00
/Users/petitdino/Desktop/fennec_code/fennec16/content/xslt/src/xslt/txMozillaXSLTProcessor.h,144,1,7,1,0.26
/Users/petitdino/Desktop/fennec_code/fennec16/content/xslt/src/xslt/txStylesheetCompiler.h,241,2,6,1,0.07
/Users/petitdino/Desktop/fennec_code/fennec16/content/xslt/src/xml/txXMLUtils.h,145,1,12,0,0.36
/Users/petitdino/Desktop/fennec_code/fennec16/content/base/src/nsAttrName.h,209,2,24,1,0.11
/Users/petitdino/Desktop/fennec_code/fennec16/content/base/src/nsCrossSiteListenerProxy.h,90,0,0,0,0.08
/Users/petitdino/Desktop/fennec_code/fennec16/dom/base/nsDOMError.h,99,0,0,0,0.00
/Users/petitdino/Desktop/fennec_code/fennec16/xpcom/glue/nsID.h,143,1,1,0,3.39
/Users/petitdino/Desktop/fennec_code/fennec16/content/xslt/src/base/txError.h,114,0,0,0,0.00
/Users/petitdino/Desktop/fennec_code/fennec16/xpcom/glue/nsStringAPI.h,1438,1,178,1,0.31
/Users/petitdino/Desktop/fennec_code/fennec16/nsprpub/pr/include/prlog.h,221,0,0,0,5.67
