node,page_rank,betweenness,closeness,indegree,outdegree
,1.904,0.0,0.696,0,0
/Users/petitdino/Desktop/fennec_code/fennec16/xpcom/string/public/nsSubstringTuple,4.537,607.643,2.817,6,5
/Users/petitdino/Desktop/fennec_code/fennec16/gfx/skia/src/effects/SkEffects_none,1.904,0.0,2.817,0,2
/Users/petitdino/Desktop/fennec_code/fennec16/dom/base/nsScreen,1.987,156.214,2.817,2,28
/Users/petitdino/Desktop/fennec_code/fennec16/media/webrtc/trunk/src/modules/audio_processing/utility/delay_estimator,2.705,0.0,2.817,2,5
/Users/petitdino/Desktop/fennec_code/fennec16/security/nss/lib/pk11wrap/pk11auth,5.07,138840.698,2.817,50,23
/Users/petitdino/Desktop/fennec_code/fennec16/gfx/tests/gfxTextRunPerfTest,1.904,0.0,2.817,0,23
/Users/petitdino/Desktop/fennec_code/fennec16/security/manager/ssl/src/nsSmartCardEvent,2.101,7290.295,2.817,3,16
/Users/petitdino/Desktop/fennec_code/fennec16/gfx/skia/src/core/SkScalerContext,2.356,24739.734,2.817,7,40
/Users/petitdino/Desktop/fennec_code/fennec16/media/libvpx/vp8/encoder/block,4.696,4590.692,2.817,20,7
/Users/petitdino/Desktop/fennec_code/fennec16/js/src/gc/Barrier,18.573,59.615,2.817,30,6
/Users/petitdino/Desktop/fennec_code/fennec16/intl/uconv/ucvja/nsUnicodeToEUCJP,2.128,0.284,2.817,2,9
/Users/petitdino/Desktop/fennec_code/fennec16/parser/expat/lib/xmltok,7.801,95155.718,2.817,7,11
mozilla/_ipdltest/PTestBlockChildChild,1.904,0.0,0.696,0,0
/Users/petitdino/Desktop/fennec_code/fennec16/gfx/layers/ThebesLayerBuffer,2.33,880.939,2.817,5,21
/Users/petitdino/Desktop/fennec_code/fennec16/intl/uconv/ucvlatin/nsUTF7ToUnicode,3.815,3712.108,2.817,3,7
/Users/petitdino/Desktop/fennec_code/fennec16/media/libvpx/vp8/decoder/dboolhuff,4.629,12232.615,2.817,7,6
/Users/petitdino/Desktop/fennec_code/fennec16/media/webrtc/trunk/src/modules/video_coding/main/test/mt_rx_tx_test,2.287,273.801,2.817,1,21
nsIDOMXULCommandEvent,1.904,0.0,0.696,0,0
/Users/petitdino/Desktop/fennec_code/fennec16/gfx/harfbuzz/src/hb,20.781,140771.313,2.817,19,8
