bugID,page_rank,betweenness,closeness,indegree,outdegree,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
752368,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
664484,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
736181,2.917,0.0,0.876,0,0,64,0,0,0,44.00
716232,6.642,1.634,3.447,5,6,228,1,5,1,0.50
739640,122.859,456409.576,3.448,358,59,1686,3,52,6,0.29
738331,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
721339,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
713594,3.744,0.667,3.448,2,3,687,0,0,0,1.40
713593,2.917,0.0,3.447,0,1,40,0,0,0,0.00
665777,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
665776,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
720085,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
665770,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
568460,4.328,27708.738,3.448,10,67,187,0,0,0,1.62
727512,2.917,0.0,0.876,0,0,64,0,0,0,44.00
648773,3.392,17139.128,3.448,5,26,154,16,2,3,1.20
723495,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
581992,31.926,71121.67,3.448,61,10,6731,0,0,0,10.78
723499,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
616508,3.522,0.0,3.447,8,0,130,1,4,0,0.75
616506,4.993,13391.707,3.448,9,32,602,4,26,4,0.17
616117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
731019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
724425,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
715598,2.917,0.0,0.876,0,0,84,0,0,0,3.00
408518,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
635519,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
718284,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
727748,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
592199,17.021,19076.673,3.448,33,63,262,3,11,2,0.74
728030,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
724215,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
182803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
703002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
