file,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
/intl/locale/src/unix/nsDateTimeFormatUnix.cpp,319,6,9,5,0.33
/nsprpub/lib/libc/include/plstr.h,470,0,0,0,5.00
/intl/locale/src/unix/nsDateTimeFormatUnix.h,102,1,2,0,1.31
/intl/locale/public/nsIPlatformCharset.h,83,1,1,0,2.17
/intl/locale/public/nsPosixLocale.h,57,0,0,0,7.40
/xpcom/ds/nsCRT.h,285,1,22,2,1.43
/xpcom/string/public/nsReadableUtils.h,393,1,5,0,2.20
/intl/unicharutil/util/nsUnicharUtils.h,166,1,2,0,2.44
/xpcom/glue/nsISupportsImpl.h,1473,2,16,4,1.89
/xpcom/glue/nsStringAPI.h,1469,1,178,1,0.36
/xpcom/base/nsError.h,344,0,0,0,71.00
/xpcom/glue/nsDebug.h,369,0,0,0,24.50
/security/nss/lib/softoken/lowkeyti.h,127,0,0,0,1.12
/security/nss/lib/freebl/blapit.h,403,0,0,0,1.08
/nsprpub/pr/include/prtypes.h,572,0,0,0,11.29
/nsprpub/lib/ds/plarena.h,214,0,0,0,4.33
/security/nss/lib/util/secitem.h,128,0,0,0,5.44
/security/nss/lib/util/secasn1t.h,302,0,0,0,8.81
/security/nss/lib/util/secoidt.h,510,0,0,0,0.31
/xpcom/reflect/xptcall/src/md/unix/xptcinvoke_sparc64_openbsd.cpp,103,17,1,2,1.41
/xpcom/reflect/xptcall/src/xptcprivate.h,92,1,2,0,2.53
/nsprpub/pr/tests/sema.c,180,9,3,3,0.38
/nsprpub/pr/include/nspr.h,75,0,0,0,0.00
/nsprpub/lib/libc/include/plgetopt.h,157,0,0,0,3.90
/nsprpub/pr/include/pripcsem.h,133,0,0,0,11.33
/dom/plugins/base/nsPluginNativeWindowWin.cpp,782,4,29,4,0.33
/widget/public/nsGUIEvent.h,2027,1,76,1,0.51
/toolkit/xre/nsWindowsDllInterceptor.h,437,3,8,2,0.69
/dom/plugins/base/nsPluginSafety.h,128,0,0,0,39.00
/dom/plugins/base/nsPluginNativeWindow.h,116,1,7,1,1.26
/xpcom/glue/nsThreadUtils.h,469,1,21,2,1.40
/xpcom/base/nsAutoPtr.h,1443,1,134,1,0.29
/xpcom/glue/nsTWeakRef.h,206,2,12,1,1.61
/xpcom/base/nsCrashOnException.h,54,0,0,0,9.75
