node,page_rank,betweenness,closeness,indegree,outdegree
,2.662,0.0,0.813,0,0
/security/nss/lib/freebl/mpi/utils/gcd,2.662,0.0,3.243,0,2
/tools/profiler/libunwind/src/tests/Gtest-init,4.925,3264.0,3.243,1,4
/netwerk/wifi/nsWifiScannerMac,2.662,0.0,3.243,0,13
/media/libjpeg/jcmaster,3.043,2.1,3.243,2,7
/gfx/graphite2/src/inc/FeatureMap,10.043,1428.025,3.243,10,7
/content/xslt/src/base/txExpandedNameMap,3.737,834.737,3.243,8,11
/gfx/skia/include/utils/SkParsePaint,4.191,614.456,3.242,5,2
/js/src/MemoryMetrics,2.662,0.0,3.243,0,8
/gfx/skia/include/gpu/GrTemplates,3.364,3.25,3.242,4,1
nsIInputListAutoComplete,2.662,0.0,0.813,0,0
/js/src/jsapi-tests/testLooselyEqual,2.662,0.0,3.243,0,2
chrome/browser/download/download_item_model,2.662,0.0,0.813,0,0
/dom/plugins/base/android/ANPSystem,2.662,0.0,3.243,0,9
/security/nss/lib/libpkix/pkix_pl_nss/pki/pkix_pl_crlentry,6.349,589.059,3.243,6,23
/gfx/skia/include/views/SkOSWindow_Android,2.662,0.0,3.242,0,6
/security/nss/cmd/crlutil/crlgen,3.055,2311.44,3.243,3,31
/toolkit/crashreporter/google-breakpad/src/third_party/linux/include/gflags/gflags_completions,2.662,0.0,0.813,0,0
/tools/codesighs/msdump2symdb,4.625,2.833,3.243,6,5
/js/src/yarr/OSAllocatorWin,2.662,0.0,3.242,0,1
/gfx/skia/src/core/SkFontHost,2.848,0.0,3.242,1,1
/tools/profiler/android-signal-defs,4.818,0.0,3.242,5,0
jsautooplen,2.662,0.0,0.813,0,0
/media/libtheora/include/theora/codec,14.658,3.533,3.243,16,2
/nsprpub/pr/src/cplus/rcthread,4.275,2898.193,3.243,6,12
/security/nss/lib/pk11wrap/pk11auth,6.789,840.636,3.243,50,23
/security/nss/lib/zlib/gzread,3.514,1619.3,3.243,3,12
/media/libvorbis/lib/masking,2.843,0.0,3.242,1,1
/xpcom/tests/static-checker/OverrideOK2,2.662,0.0,3.243,0,1
/gfx/cairo/cairo/src/cairo-vg,2.733,0.0,3.242,1,1
/media/libvpx/vp8/common/onyxc_int,18.573,31176.908,3.242,40,14
/widget/os2/nsRwsService,2.879,21.108,3.243,2,20
/content/svg/content/src/SVGPathSegListSMILType,3.093,18.08,3.243,2,11
nsITimer,2.662,0.0,0.813,0,0
/gfx/skia/include/xml/SkJS,2.844,11.325,3.243,2,13
/xpcom/reflect/xptcall/src/md/win32/xptcstubs_x86_64_gnu,2.662,0.0,3.243,0,9
/parser/html/nsHtml5ArrayCopy,4.339,110.051,3.243,10,6
/ipc/chromium/src/base/sys_info_posix,2.662,0.0,3.243,0,7
mozilla/plugins/PBrowserStreamParent,2.662,0.0,0.813,0,0
/accessible/src/mac/nsRoleMap,2.662,0.0,0.813,0,0
nsIConsoleService,2.662,0.0,0.813,0,0
mozilla/dom/PContentPermissionRequestChild,2.662,0.0,0.813,0,0
mozilla/plugins/PPluginInstanceChild,2.662,0.0,0.813,0,0
/dom/sms/src/android/SmsService,2.811,0.0,3.243,1,16
mozilla/_ipdltest/PTestRPCShutdownRaceParent,2.662,0.0,0.813,0,0
/other-licenses/7zstub/src/7zip/UI/GUI/OpenCallbackGUI,3.292,123.836,3.242,3,10
nsIUploadChannel2,2.662,0.0,0.813,0,0
/content/svg/content/src/DOMSVGAnimatedLengthList,3.513,306.19,3.243,6,18
/nsprpub/lib/ds/plhash,35.683,34469.408,3.243,57,9
/xpcom/base/nsDebugImpl,89.552,1061849.057,3.243,11,30
/nsprpub/pr/src/misc/prerrortable,8.715,11153.386,3.243,39,5
nsICookieService,2.662,0.0,0.813,0,0
/security/nss/lib/crmf/cmmf,3.845,2208.144,3.243,13,9
/other-licenses/7zstub/src/Common/NewHandler,83.231,3234.5,3.242,4,2
/gfx/layers/ThebesLayerBuffer,3.101,429.203,3.243,4,23
sys/inttypes,2.662,0.0,0.813,0,0
/gfx/harfbuzz/src/hb-blob,13.064,120044.164,3.243,16,8
/hal/HalSandbox,3.53,0.0,3.243,1,2
/ipc/chromium/src/base/thread_local_storage_unittest,2.662,0.0,3.243,0,4
/toolkit/crashreporter/google-breakpad/src/common/linux/eintr_wrapper,4.151,0.0,3.242,5,0
/gfx/skia/src/core/SkWriter32,7.755,8560.753,3.243,16,7
/ipc/chromium/src/chrome/common/chrome_constants,5.357,0.476,3.242,4,3
fontconfig/fontconfig,2.662,0.0,0.813,0,0
/content/xslt/src/xpath/txUnionExpr,2.782,50.142,3.243,1,16
/gfx/harfbuzz/src/hb-object-private,18.595,4682.033,3.243,12,5
nsIEditorLogging,2.662,0.0,0.813,0,0
/netwerk/protocol/about/nsAboutCache,2.752,0.0,3.243,1,26
/security/nss/lib/freebl/ecl/ec_naf,3.878,0.0,3.242,3,2
/js/src/vprof/vprof,4.767,1.0,3.243,2,3
/rdf/base/src/nsRDFService,2.808,386.502,3.243,2,43
/js/src/jsapi-tests/testParseJSON,2.662,0.0,3.243,0,7
/modules/freetype2/src/base/ftstream,5.528,41.828,3.242,13,7
/gfx/angle/src/libEGL/libEGL,7.059,54339.319,3.243,13,13
/intl/uconv/ucvlatin/nsMacDevanagariToUnicode,3.064,0.034,3.243,2,7
/dom/plugins/ipc/PluginScriptableObjectUtils,3.457,740.364,3.243,4,15
nsIDOMNodeSelector,2.662,0.0,0.813,0,0
sys/sem,2.662,0.0,0.813,0,0
