bugID,page_rank,betweenness,closeness,indegree,outdegree,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
590695,1.738,0.0,0.686,0,0,811,7,18,4,0.07
505742,65.927,541271.581,2.771,236,13,418,3,14,3,0.44
177796,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
774622,1.738,0.0,0.686,0,0,33,0,0,0,11.00
623638,1.946,106.79,2.771,5,40,129,1,5,0,0.13
711801,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
795829,14.352,487444.602,2.771,89,43,332,10,3,5,0.38
673016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
782981,2.303,368999.888,2.771,8,87,334,1,9,0,0.50
612261,1.83,86.151,2.771,2,22,119,1,8,0,0.30
618683,1.738,0.0,0.686,0,0,4132,3,78,4,0.10
630877,12.337,259117.661,2.771,164,102,677,1,22,3,0.95
628152,1.738,0.0,0.686,0,0,33,0,0,0,11.00
704684,5.365,155.071,2.77,37,9,248,1,19,1,0.88
728707,1.837,3164.464,2.77,3,37,985,10,16,9,0.24
559138,1.738,0.0,0.686,0,0,-1,-1,-1,-1,-1
540947,2.457,6059.038,2.771,6,32,931,5,38,4,0.20
803022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
519356,1.738,0.0,0.686,0,0,91,3,2,2,0.00
814953,2.691,0.25,2.77,4,3,8115,7,175,7,0.31
519370,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
572187,1.738,0.0,2.77,0,7,178,1,9,0,0.59
771347,3.227,34480.224,2.771,9,49,4132,3,78,4,0.10
776532,4.795,4012.959,2.77,13,44,859,6,29,5,0.20
595572,1.791,0.143,2.77,1,6,133,2,11,1,0.08
703402,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
807038,6.396,7566.481,2.771,23,12,1071,4,45,4,0.16
687347,1.738,0.0,0.686,0,0,66,2,5,4,0.67
547647,1.887,85.142,2.77,3,25,141,4,4,2,0.38
777225,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
551384,1.738,0.0,0.686,0,0,1854,6,57,4,0.20
776559,1.738,0.0,0.686,0,0,33,0,0,0,11.00
726043,1.893,787.163,2.771,2,39,1096,6,30,7,0.18
631453,2.07,127259.205,2.771,4,30,127,1,3,1,0.63
616117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
