bug,entropy,frequency,version_cnt,up_time
640934,0.1355443628437745,427,10,453.0
736181,0.0,3,1,2.0
505742,0.19994075143512904,352,16,279.5
738935,0.23051491278122715,8690,6,5.0
774622,0.2813663392748897,46915,15,14.0
745818,0.0,1,1,320.0
623638,0.0,10,5,174.5
795829,0.19324553451193827,24,5,282.0
795826,0.2392896951956161,130,7,456.0
748531,0.22244029010497607,2711,2,2071.0
795821,0.25159359679779086,1181,9,343.0
704684,0.23439368322874224,34,8,278.0
728707,0.0,1,1,4.0
787584,0.010762160603174323,9776,11,21.0
704686,0.2014549557273773,70,8,243.0
595572,0.17288184526038966,19,7,198.0
784672,0.09072569536376561,1648,5,91.0
798963,0.0,1,1,1.0
581992,0.23627400640838886,655,17,4.0
784633,0.08814060371192874,34868,15,188.0
729129,0.13241263169041873,58953,27,9.5
551384,0.11751047586170903,3,2,280.0
631453,0.0,1,1,425.0
576734,0.11283705108237263,5,4,153.0
467499,0.17967597535242105,30,6,277.0
715598,0.28444023579528144,229,14,129.5
467493,0.0,1,1,206.0
759162,0.21244149976352694,23984,5,380.0
821224,0.05032567748499978,12376,7,23.0
635519,0.2286857957841219,7581,24,438.0
705941,0.17622575623469708,64,9,229.0
602797,0.21988496157624715,107,10,143.0
711852,0.12350682353163223,3074,10,174.0
592214,0.17288184526038966,19,7,198.0
791655,0.0,1,1,8049.0
791657,0.0,2,1,130.0
205735,0.053524366620378426,5,4,398.0
703002,0.06892850961437953,6912,19,301.0
818415,0.24929761651399543,123,1,67.0
736761,0.1726271971678819,35,2,20.0
707614,0.14828171115498553,4,3,141.5
795728,0.1784322998126879,14,6,709.0
772615,0.12514554519968324,15,7,400.0
782981,0.1716855975879071,21,1,698.0
687768,0.131493860671368,25,7,101.0
817704,0.13659496172530594,7,2,78.0
750220,0.22035526539181075,1990,8,21.0
704703,0.24894661709645025,161,12,640.0
616591,0.0,1,1,201.0
641224,0.20917426501185699,61,9,352.0
799877,0.29351367972113634,24903,23,9.0
793380,0.1871078316432625,40,8,55.5
732897,0.0,1,1,730046.0
603356,0.06808323881004719,3,2,103.0
358290,0.0,1,1,323.0
