"version","false_positive"
"10-14","50006 50182 53670 55537 76226 81273 84832 87223 97444 102585 102936 106650 108098 110395 117088 121860 142310 144479 148245 148889 150464 159468 164053 171781 179524 180187 199541 199550 205735 209598 223144 237760 238322 245295 250900 254161 258843 265736 265899 269568 274425 281098 282707 283140 283147 288763 291902 301097 305181 306787 306911 307444 308752 309120 309298 310267 311161 311661 313086 315286 315304 322759 325730 327695 332971 333050 334080 335896 338288 339165 339315 343280 343345 344300 344557 345659 346090 346405 348981 351236 351328 354924 355594 361389 363272 366320 367755 368740 370789 371135 372373 373344 373533 378682 383129 383305 383977 384037 384871 387460 389194 390032 391132 393770 394970 400244 406524 407749 407792 408535 416461 422118 425603 428263 429442 430593 431705 432114 433326 436241 437142 441133 441559 452157 452913 456196 465832 468630 472450 473435 476653 486269 488421 490164 493249 495555 495875 496011 497573 498492 502505 502678 502832 503384 503679 504146 507015 507114 507119 507788 509839 510996 511835 520541 524671 524707 524710 527882 529087 531186 535914 535990 536074 537033 540133 540944 541868 541869 542263 543350 543665 548451 551326 551746 552697 552960 555619 557070 557892 558955 560277 561566 561577 564279 566815 568510 570715 573433 575462 575800 579275 580151 580504 580967 581785 583555 584303 584651 585314 585921 587304 588275 589329 589469 590302 590529 590586 591547 591591 591657 591983 592208 592214 593374 594702 595572 595740 595743 595837 596128 598568 599488 601543 602157 602914 603356 603938 604262 604365 604368 604734 604994 606346 606957 607053 607305 607991 608128 608219 608378 608963 608998 609244 609565 610119 610601 611473 612086 612402 612536 612547 612554 613376 613716 613838 614527 614772 615293 615450 615475 616400 616591 617718 618832 619021 619043 619744 620280 620405 622510 622985 622992 624111 624510 624573 625087 625753 625783 626052 628102 629329 629351 631149 631894 631999 632000 633453 634248 634542 634867 635606 635617 636749 636921 639168 639343 640272 640473 640904 640934 644542 644796 645284 646952 647014 647044 647269 649005 650399 650446 653561 655919 656646 657587 657887 658292 660538 661158 662628 662634 664159 664200 665218 665420 665817 665818 665953 666039 666751 667398 667624 668851 669122 670181 670842 671271 671281 672436 672438 674624 676571 677386 679228 679251 679379 679412 679986 681751 682616 682839 682916 683026 683653 684308 684872 685548 687768 687991 689118 690340 691370 692735 692980 693010 694775 695261 695505 695893 696175 696336 696386 697654 698349 698813 700112 700174 700493 700592 700596 700835 701224 702150 702473 702481 702493 704669 704678 704683 704698 704794 705669 705931 705996 706136 706138 706283 706343 707097 707098 713251 713488 714639 715057 715829 715885 716426 716843 717497 717882 718187 718541 719442 720086 720100 720234 720991 720998 722770 723445 723471 723473 723894 725117 725649 726376 728430 728687 729228 730700 731191 731813 732897 733004 733712 734719 734796 735012 735032 735943 736003 736099 736121 736220 736436 736570 736666 736815 736852 736853 737128 737447 737949 737952 737953 737957 738188 738199 738204 738279 738308 738311 738369 738633 738638 738920 739144 740040 740325 740328 740332 740334 740602 740729 741053 741183 741189 741218 741306 742399 742426 742481 742602 742700 743593 743724 744441 744986 745343 745837 746076 746813 746928 747006 747602 747722 748722 749544 749578 749659 749816 750069 750154 750156 750201 750215 750225 750629 750770 750774 750779 751078 751131 751139 751162 751343 751507 751625 751830 751879 751977 752098 752229 752286 752326 752379 752414 752426 752457 753251 753276 753731 754013 754037 754039 754095 754212 754663 754807 755647 755677 755846 756059 756198 756655 756658 756738 756769 756796 756797 757121 757366 757506 757748 757800 757801 757803 757805 758537 758617 758648 758713 758855 758863 758872 758898 758960 758963 759290 759294 759706 760405 760407 760811 761041 761485 762316 762700 763014 763121 763264 763404 763864 764116 764392 764394 764396 764397 764399 764403 765194 765482 765680 765952 766522 767826 768006 768364 768397 768446 768449 768726 768833 769671 770125 770364 770381 771502 772306 772615 772652 773562 773630 773964 774361 775444 775931 775981 776082 776223 776334 778445 778935 779817 780129 780392 780596 780831 781265 781279 781571 781645 781816 782027 782223 782384 783271 784643 784672 785808 785868 786257 787017 787319 787584 787637 787937 788112 788480 789413 789735 790922 794371 794952 795104 795728 795900 802798 804768 805749 808378 809277 812402 821224 822036"
"10-15","50182 53219 53670 59203 73331 76226 77362 81905 82219 84832 87223 87610 97226 102585 102936 106097 106650 107545 108098 110395 117088 133009 133548 134769 135868 136245 136248 144479 148245 156650 159468 179524 198267 199550 219006 228630 237760 238322 245295 250900 254161 265899 272286 275654 281098 282707 283140 288500 288763 291902 292033 303901 303924 306787 306911 308086 309120 310267 311161 313086 315286 315304 322759 327695 333050 334080 338288 339165 339315 339651 341595 343280 343345 344300 344305 344557 345529 345659 346090 346405 348126 349482 351328 354645 354924 356394 359371 361389 363272 364007 366128 367755 368740 369547 370789 370791 371135 372373 383129 383305 383977 384037 387460 387955 389194 389326 390032 391132 393770 394246 394818 398253 398733 400244 401042 404616 407749 407792 413079 416461 416734 422118 425603 428263 429442 430593 430800 431705 432114 433326 433758 435128 436241 437142 440195 441133 452157 456196 463350 465832 467493 468630 472450 473282 474080 476653 478033 478527 479353 479567 481302 486269 487271 488421 490164 495177 495555 498492 501960 502017 502505 502678 502832 503384 503418 503679 503767 504146 507114 507788 508247 510996 511835 514554 514734 519752 519926 520336 520541 521169 523423 524671 524706 524707 524710 524712 527882 528507 529087 531186 531603 536074 536308 536617 537011 537033 537379 539040 540187 540944 540947 541314 541868 541869 542263 543350 543386 543665 544413 544446 545333 545571 545692 546764 547647 548451 548571 551326 551746 552697 552960 553801 555563 555619 556829 557070 558955 560277 561577 562852 563664 567232 568510 569849 570715 570863 573433 575462 575800 576734 579275 580151 583555 584303 585598 586806 587064 587304 587807 588275 589329 589469 589635 590584 590586 591547 591657 591664 591983 592214 592829 593374 595572 595740 596128 596245 596882 597969 598052 598568 599488 602157 602914 604368 604994 605931 606346 607053 607305 607758 607778 608378 608662 608998 609244 609565 610119 610601 611171 612536 612547 613000 613376 613467 613716 613838 614527 614772 615450 615475 616400 617637 618261 618832 619021 619045 619744 620280 620405 622510 622985 623188 623606 623638 624029 624111 624510 625087 625753 626052 626234 626606 626841 626989 627716 628102 629120 629329 631149 631478 631894 631999 632000 634248 634542 634796 634867 634920 636442 636749 636921 637796 638658 639168 640272 640473 640904 640934 642088 642329 643225 644542 644796 646302 646952 647014 647044 647269 647694 650618 653561 655919 657587 657887 659833 662628 662634 664159 665218 665257 665420 665818 665953 666039 666751 667398 667512 667624 668851 669122 669557 670181 671281 671284 671428 673521 674007 675470 675490 676341 676571 678181 679228 679251 679379 679412 679986 681099 682616 682621 682649 682839 682916 683026 683653 684872 684879 685548 687768 687991 689118 689302 690340 691278 691370 691431 691847 692735 692980 693010 693484 694002 694775 694824 695261 695505 695893 696336 696386 696640 697339 697654 698349 698813 700112 700174 700493 700572 700592 700596 700835 702150 702473 702481 702493 703402 704669 704694 704698 705669 705931 705996 706136 706138 706283 706343 706774 707097 707098 707147 707614 707662 711651 713381 714639 715057 715387 715829 715885 716426 717497 718187 718541 720086 720234 720991 720998 723445 723471 723894 725117 725649 728430 728687 728707 729228 730694 730700 731191 731813 731984 732388 733004 733031 733712 734719 734796 735012 735032 735943 736666 736815 736852 737128 737447 737949 737952 737953 737957 738188 738199 738204 738279 738633 738638 739144 740040 740332 741053 741189 742426 743593 743724 744986 745343 745778 745837 746076 746896 746928 747006 747602 747722 748701 749544 749578 749816 749915 750069 750154 750201 750215 750629 750770 750774 751078 751131 751139 751162 751343 751507 751625 751829 751830 751879 751959 751973 751977 752098 752172 752257 752379 752414 752426 752457 752495 752824 752829 753093 753095 754212 754286 754377 754663 754807 754850 755647 755677 756059 756198 756412 756655 756797 756799 756813 757013 757051 757121 757303 757366 757506 757739 757748 757801 757805 758537 758617 758648 758713 758852 758855 758863 758872 758898 758960 759123 759292 760031 760403 760405 760406 760407 760811 760984 761041 761131 761132 762316 762331 762700 763121 763184 763404 763864 763912 764051 764116 764334 764399 764403 765194 765220 765482 765680 765952 766522 767826 767878 768006 768254 768339 768446 768449 768726 768833 769565 769671 770125 770364 770381 771138 771502 772306 772615 772652 773108 773562 773630 773756 773952 773964 774084 774209 774361 774579 774612 775271 775444 775931 775981 776082 776223 776329 776334 776715 777310 777505 778445 778522 778693 778935 779817 779832 780129 780577 780596 780831 781148 781265 781272 781279 781571 781645 782027 782223 782384 782931 783271 784633 784643 784672 785001 785370 785626 785808 785868 786180 786246 786257 787017 787044 787319 787353 787584 787637 787775 787888 787937 788105 788112 788480 789396 789413 789456 789735 789885 790258 790269 790584 790922 791527 791949 791950 794952 795104 795728 795829 795900 799856 800327 804768 805296 805749 807976 808338 808378 809277 809322 811389 812402 812585 814736 821224 822036 822074"
"10-16","58256 76226 81273 82401 84832 87223 95489 97444 102585 106650 108098 110395 117088 121860 134769 135498 135868 136245 136248 142542 144479 148245 148889 149012 150464 153815 159468 162516 171781 179524 180187 199541 199550 205735 237760 238322 245295 250900 253479 254161 262468 265899 269568 274425 282707 283140 283147 301097 306787 306911 308752 308770 309120 309298 310267 311161 313086 315286 315304 322759 327695 332971 334080 338288 339165 339315 339651 343280 343345 343510 344300 344305 344557 345529 346090 346405 346431 348887 348981 349463 351236 351328 352871 354924 355486 355594 356394 360599 361389 361617 363272 366128 367755 368740 369547 370789 371135 373344 375399 377491 378682 383305 383977 384037 384527 384871 384937 387460 389194 390032 391132 391974 393770 394818 398345 398733 399951 400244 401042 406380 407749 408535 413079 416461 416734 421833 422118 425603 425936 428263 428550 429442 430593 431060 431705 432114 433326 436241 437142 440969 441133 441714 456196 457521 465832 466659 468630 472450 474080 476547 476653 478527 479353 486269 488421 490164 495555 495875 498492 499203 501934 501960 502505 502678 502832 503384 503418 503650 503767 505188 507114 507119 507788 508247 509839 510996 511835 512486 514766 524706 524710 524712 526976 527882 529478 531186 534768 535914 535990 536074 536617 537033 537379 538724 539040 540944 540947 541314 541868 541869 542263 543350 543665 545333 545571 547647 548451 548571 549737 551326 551746 552697 552960 553801 555563 556829 557892 560277 561577 563343 563358 567232 568510 569849 570715 570863 575462 575546 576734 577963 579275 579655 580967 581785 582111 584303 584447 584651 585314 585598 587037 587064 587304 587494 587885 588275 589329 589469 590584 590586 590870 591547 591591 591657 591983 592214 592240 593374 594884 595337 595572 595740 596128 596245 596484 596710 596767 596826 596882 597969 598052 598568 599488 601395 602157 603938 604365 606346 606413 606489 606957 607053 607268 607305 607778 608128 608219 608378 608963 608998 609565 610119 610601 610790 611473 612086 612536 612547 612554 613000 613376 613467 613716 614527 614547 614772 615475 616400 617159 618261 618832 618938 619021 619043 619060 620280 620405 622510 622985 623188 623606 623638 624029 624111 624573 625087 625753 625783 625991 626052 626234 626606 626989 627353 628102 628794 629329 629351 631149 631453 631894 631999 634248 634796 634867 634920 634936 635962 636749 636921 637078 637171 637796 639168 639343 640272 640904 640934 644542 645120 645284 645773 646302 646557 646952 647014 647044 647269 647500 647694 649005 650446 650618 653561 653820 654462 654541 655775 655919 657587 657887 658195 659051 659833 660538 661965 662628 662634 664159 664200 664474 664916 665218 665420 665818 665953 666039 666225 666751 667398 667624 668851 669122 669557 669787 670181 670267 671271 671281 671428 674007 674620 674624 675437 675470 675506 675536 678181 679228 679379 679412 679986 680274 682616 682637 682649 682839 683026 683653 684872 684879 685548 686893 687768 687991 690340 691278 691370 691431 692283 692980 693010 693484 693983 694566 694646 694824 695261 695505 695893 696336 696386 697654 698349 698813 700112 700174 700191 700193 700209 700458 700493 700835 701224 702150 702244 702473 702481 702493 703402 704669 704683 704694 704698 704794 705669 705931 706283 706343 706774 707095 707097 707614 707662 709190 713488 714639 715057 715885 715978 717497 718187 718541 719442 720086 720100 720234 720991 722770 723110 723894 725009 728430 728687 729228 730700 731191 731813 731984 732388 733031 733092 733712 734719 734796 735012 735943 736815 737128 737447 737949 737952 737953 737957 738188 738199 738204 738633 738638 739144 740040 740332 741053 741189 742602 743416 744986 745778 745818 745837 746813 747006 749082 749578 749816 750069 750154 751078 751131 751139 751162 751343 751507 751830 751959 752098 752229 752327 752414 752426 752457 752495 752824 752901 753095 753251 754095 754663 754807 755647 755677 756059 756198 756655 756797 756799 756813 757051 757366 757739 757801 757805 758713 758852 758855 758863 758872 758898 758960 759300 759706 760403 760406 760407 760811 761041 762316 762331 762581 762700 763014 763121 763184 763864 764116 764305 765082 765194 765220 765680 765952 766413 767791 767826 767878 768006 768254 768339 768397 768833 768900 769216 769565 770125 770364 770381 770544 771138 771502 771535 772306 772615 772652 773108 773177 773562 773630 773943 773952 773962 773964 774156 774206 774209 774357 774361 774612 774670 775271 775444 775931 775981 776082 776223 776329 776334 776336 776472 776496 776861 777310 778080 778081 778445 778693 778935 779817 780129 780392 780570 780577 780596 780831 781148 781571 781645 782027 782223 782384 782422 782931 783271 784633 784643 785370 785626 785629 785711 785868 786180 786246 786257 786687 787017 787044 787319 787353 787584 787775 787888 787937 788105 788112 788427 788436 788480 789059 789396 789413 789456 789735 790258 790269 790922 791949 791950 794371 794907 794952 795104 795685 795728 795829 795900 798937 799856 800327 801850 801882 802040 802798 804458 804768 805296 805749 806215 807976 808338 808378 809277 809322 811389 812402 812991 814790 820873 823738"
"10-17","50182 76226 79371 81273 82219 82401 84832 87223 87610 90196 90379 97226 97444 100216 106650 108098 110395 117088 121860 133548 135868 136245 136248 144479 145147 148245 148889 159468 180187 199541 199550 219006 237760 238322 244454 245295 250900 254161 265899 269568 271669 275654 281098 282707 292033 299419 301097 302536 303821 306787 307444 307989 308770 309120 309298 310267 311161 313086 315286 315304 327695 332971 334080 335896 338288 339165 339315 340733 343280 343345 344557 345529 346090 348062 348887 351328 352520 352616 352871 354924 355594 356394 358290 359371 360599 361389 363272 364427 366128 366320 367755 368740 370789 370791 371135 373344 373533 378682 379343 383129 383305 383977 384037 384527 387460 389194 389326 390032 391132 391974 393770 394246 395581 398733 399951 400244 401042 406380 406524 407749 408103 408535 414451 416461 416734 422118 425603 425936 428263 428550 429442 430593 431060 431705 432114 433326 433594 436241 437142 440195 440969 441133 465832 468630 472450 474080 476547 476653 478478 478527 486269 488848 495555 495875 498492 499203 501934 501960 502505 502678 502832 503384 503418 503650 503767 505188 507114 507119 507788 509839 510996 511835 519926 524706 524707 524710 524712 526217 529087 529478 531746 534768 535914 535990 536308 536617 537033 537379 538143 539040 540944 540947 541314 541868 541869 542263 543350 543665 545333 545571 547647 549055 549606 551384 552697 552960 553332 555563 556829 557070 557892 558955 559074 560277 561025 561577 563127 563358 567232 570715 570863 575462 576734 577201 577963 579275 579655 580151 584303 585598 586806 587304 587807 587885 588275 589329 589469 590584 590586 591547 591591 591657 592214 592829 593374 595572 595740 596128 596245 596882 598052 598568 599488 602157 603356 604262 604365 604994 605931 606346 606413 607305 607778 608128 608219 608378 608773 608963 608998 609244 609565 610119 610601 610715 611171 611473 612086 612089 612402 612536 612551 612554 613000 613376 613467 613716 614082 615475 616400 617637 618261 618832 618938 619021 619043 619044 619060 620280 620402 620405 621375 622985 623188 623638 624029 624111 625087 625337 625753 625783 626052 626234 626361 626606 626989 627716 628102 628715 628794 629120 629351 631149 631478 631894 632000 633357 634248 634796 634867 634920 636749 636921 637078 637396 637796 639168 640272 640473 640934 641093 642088 644542 644796 645072 645773 646302 646952 647014 647044 647269 647694 649028 650446 650501 653561 654462 654541 655775 656947 657573 657587 657887 658195 658440 659051 659833 661158 662628 662634 664159 664200 664474 664916 665218 665257 665420 665818 665953 666039 666225 666751 667398 667624 668851 669557 670181 671281 671960 672438 673521 674620 674624 675437 675470 675490 675506 675536 677548 678181 679228 679379 679412 679933 679986 680274 681099 682616 682649 682839 682916 683653 684872 684879 685548 690340 691278 691976 692735 693010 693484 694566 694646 694775 694818 694824 695246 695261 695505 695893 696175 696336 696640 696906 697643 697654 698813 699867 700112 700174 700191 700458 700493 700592 700596 700835 700990 702112 702150 702473 702481 702493 704669 704694 704794 704847 705875 705931 705996 706283 706343 706774 707097 707098 707147 707614 707662 709190 711397 713488 714639 715057 715387 715829 715885 717497 717882 718187 718541 720086 720100 720234 720991 723110 723471 723520 723659 723949 726376 728430 728687 730700 731191 731813 732343 733004 733031 733092 733712 734719 734796 735012 735943 736852 737128 737949 737952 737953 738188 738199 738369 738633 738638 739144 739375 740040 740328 740332 741053 741189 741218 742602 743593 744986 745778 745837 746813 746896 747006 749082 749578 749816 750019 750069 750154 750201 751078 751131 751162 751343 751507 751830 751959 752326 752414 752426 752457 752495 752824 754013 754037 754095 754663 754807 755647 755677 756059 756198 756412 756655 756734 756797 756813 757051 757366 757801 758617 758713 758852 758855 758863 758872 758898 759706 760058 760403 760406 760407 760811 761041 762316 762331 762700 763014 763121 763864 764116 764334 765194 765615 765680 765952 767826 767878 768006 768397 768833 769565 769671 769943 770125 770364 770381 771027 771138 771502 772306 772615 772652 773108 773562 773630 773684 773756 773943 773964 774209 774357 774361 774579 774612 775271 775444 775931 775981 776082 776223 776329 776334 776336 776369 776547 776861 777505 777652 777695 777789 778081 778438 778445 778523 778693 778935 779207 779451 779817 779826 779835 780129 780369 780392 780570 780577 780596 780831 781148 781265 781272 781279 781571 781645 782027 782212 782223 782264 782267 782304 782384 782554 782931 782981 783139 783271 783496 783824 784633 784643 785001 785002 785163 785339 785370 785626 785629 785778 785806 785808 785868 786180 786240 786246 786257 786263 786687 786826 787017 787044 787319 787353 787584 787775 787822 787888 787937 788105 788112 788480 789059 789396 789413 789423 789456 789735 790258 790269 790584 790922 791521 791949 791950 792004 792905 792910 793099 794371 794907 794952 795104 795728 795829 795892 795900 797151 797396 798231 798937 798963 799856 800327 801850 801882 802040 802620 802629 802798 803495 803794 803924 803968 804458 804768 804784 804957 805296 805749 806174 806215 807976 808338 808378 809277 809322 810100 811389 811612 812402 812585 812881 812991 814096 814736 814790 814950 816671 816765 817478 817704 817840 818626 819331 820873 822036 822074 822999 823738"
"10-18","50182 106650 117088 199550 205735 238322 254161 282707 306787 311161 313086 334080 338288 343510 344557 346090 355594 363272 371135 383305 384037 391132 395581 407749 416734 422118 425603 436241 468630 495555 502832 507788 508247 524707 524710 536308 536617 539040 540947 541314 541868 541869 543665 549606 551384 553801 557070 560277 561577 570863 575570 588931 591547 595740 596245 598568 602157 608998 612089 612536 613716 619043 620280 623188 624510 625753 626052 626234 626361 628102 628715 629351 634867 640934 642763 645773 647044 647694 653561 657887 664020 664159 665420 667398 668851 670181 671281 672438 679379 686893 692323 693010 695505 695893 697643 697654 700174 700191 700493 700835 702473 705931 706283 706343 709190 714639 715885 720991 731813 733031 733712 734719 734796 736852 737128 737949 738199 738633 738638 744986 745778 745837 747006 749578 750069 751830 751959 752229 752457 754013 754037 754039 754095 755647 756655 756796 756799 757051 757366 758617 758863 758872 760811 761041 762316 762700 763121 763864 765680 765952 767878 769565 771502 772306 773108 774209 774361 775271 775543 775931 776082 776223 776329 778438 778693 778935 779817 780596 780831 781265 781279 781571 782027 782223 782304 783271 784633 785001 785339 785778 785806 785808 785868 786240 786246 786257 786263 786826 787017 787044 787319 787584 787775 787822 787888 787937 788105 788112 789413 790584 790922 791254 791589 791655 791657 791781 791949 791950 792702 793473 793987 794908 794952 795104 795465 795570 795591 795646 795728 795900 796115 797151 797302 798383 798870 800327 801543 802620 802629 803794 804768 805749 807976 808378 811612 812402 812881 812895 812991 814950 816453 816671 816765 817323 817704 818626 823423 823738"
"10-19","311161 493243 502832 521844 527567 530567 536272 536379 543665 557107 561577 578045 588931 595208 596825 606823 610601 611896 612531 619048 620122 621606 627116 628715 629329 630243 644590 652065 657587 657887 669122 670181 678463 681205 684308 706432 706438 712302 717497 725563 725865 730703 734719 740332 745837 747006 749578 749595 754013 754037 754039 754095 760811 762316 763864 765680 765952 771502 775271 775931 776082 776223 778935 780831 781571 782223 784633 785806 787017 787319 787353 789397 789413 789423 790922 792873 793727 795465 797302 800829 801405 801543 801624 801701 802040 802620 802624 802629 803125 803262 803613 803794 803924 804066 804768 804926 808027 808164 808378 808411 810248 810270 810659 811654 812319 812355 812559 812822 812867 812881 812895 813474 813475 813546 813610 814886 816457 816758 820805 821224 821637 821639 821979 822438 822575 822686"
"10-20","311161 437449 502832 504669 531961 536272 557107 575570 578045 610601 612531 627116 644590 670181 678463 695029 706438 734719 739142 739144 745837 763864 765680 774209 775271 776223 778935 779817 780596 780831 781571 782223 784633 785868 787017 787888 790922 791528 795465 802629 803267 803963 808378 810100 812355 812867 812881 813475 813546 813610 813910 813912 814330 814886 814950 816368 816457 816515 816516 816758 816765 816979 817509 817510 817759 818363 818808 818962 819331 819337 819477 819481 819630 819745 819877 820296 820746 820779 820805 821224 821762 822438 822571 822686 823423"
"14-19","493243 521844 527567 530567 578045 611896 612531 619048 620122 621606 628715 630243 652065 678463 681205 687908 693480 694603 706004 706432 707683 709832 712302 712627 713513 713580 713583 716218 721394 725563 725865 729479 775271 784633 785806 787353 789397 789423 793727 795465 797302 800829 801405 801543 801624 801701 802040 802620 802629 803262 803613 803794 803924 804066 804926 808027 810248 810270 810659 811654 812319 812355 812559 812822 812867 812881 812895 813474 813475 813546 813610 814886 816457 816758 820805 821637 821639 821979 822438 822575 822686 823738 824513"
"14-20","437449 504669 531961 575570 578045 612531 644590 678463 695029 702248 706438 713588 729479 739142 764051 774209 775271 784633 787888 791528 795465 802629 803267 803963 810100 812355 812867 812881 813475 813546 813610 813910 813912 814330 814886 814950 816457 816758 816765 816979 817509 817510 817759 818363 818808 818962 819331 819337 819464 819477 819481 819630 819745 819877 820296 820746 820779 820805 821637 821762 821979 822438 822571 822686 823423 824031 824513"
"15-19","493243 521844 527567 530567 578045 596825 611896 612531 619048 620122 621606 628715 630243 652065 678463 681205 684308 687908 693480 694603 706004 706432 707683 709832 712302 712627 713513 713580 713583 716218 721394 725563 725865 729479 730703 785806 789397 789423 793727 795465 797302 800829 801405 801543 801624 801701 802040 802620 802624 802629 803125 803262 803613 803794 803924 804066 804926 808027 810248 810270 810659 811654 812319 812355 812559 812822 812867 812881 812895 813474 813475 813546 813610 814886 816457 816758 820805 821637 821639 821979 822438 822575 822686 823738 824513"
