"version","false_positive"
"3-11","53219 53670 73331 120639 131841 148245 170674 180187 205735 253479 258843 271669 291902 306911 307259 310267 322759 335896 339315 346431 361389 363280 371135 373344 378682 393770 400822 425603 464389 465686 484177 497119 499845 507119 528261 533516 537379 541963 574182 576980 579647 587494 595364 595387 595990 604734 605452 605460 607469 610690 611597 612536 613376 613834 615450 617191 617718 619021 619045 619934 620158 621699 622962 622985 623107 623185 623188 623355 624170 624797 626198 626361 627656 628449 629004 629487 629950 630191 630998 633280 634221 634387 635191 637123 637533 638060 639168 641226 641309 642082 643379 644542 645773 646952 648232 649079 650166 651345 653419 658440 659842 662091 664096 665218 666094 667835 668344 668851 669024 670914 673456 675634 678607 679202 682444 683252 683940 684544 687099 689357 691278 691443 693451 694419 695524 695666 697459 698040 698226 700288 702150 702215 702481 702493 702904 704762 704794 705154 705258 705287 705407 705424 705588 705616 705630 705757 705761 706045 706446 706781 707220 707436 711390 711564 715401 715916 717386 717658 718541 718746 720676 721207 721667 722269 722625 723291 723518 723520 725632 725733 726206 732065 736832 737437 738640 739640 741053 743263 744847 744992 745515 746713 747683 748331 749816 756427 757853 762581 763261 766939 767783 768395 771569 771774 775446 776222 777063 777951 778364 778445 778975 779447 780577 780611 780658 782501 783888 783998 784432 785220 786076 787803 789438 790390 794146 795675 795829 795998 797116 801382 801419 804144 804493 806346 806786 814096 819386 823077"
"3-12","45663 46556 53219 53670 59203 100216 131841 142310 142542 146907 154753 198267 205735 291902 309897 310267 335896 363280 370791 371135 373344 378682 393141 398733 416461 425603 433758 464389 514032 528261 541963 559083 579647 584447 587494 595364 595387 599488 604734 605452 605460 610690 611597 613835 614761 615450 617718 619045 620158 621699 622985 623107 623168 623188 623606 624170 626052 626198 626361 628449 630191 634534 635191 636968 637123 637533 639168 641226 642082 643379 644542 645289 646952 650166 651345 654673 657465 659051 659842 662091 662954 665218 666094 667835 668851 669024 670914 675634 677580 678607 682444 683252 684544 689357 690979 691443 693451 694419 695524 695666 697459 698226 700732 702150 702215 702481 702904 704698 704762 704794 705258 705407 705509 705588 705613 705616 705630 705757 705761 706027 706045 706441 706446 706781 707220 711086 711390 711564 715401 715916 716971 717386 718746 718949 720168 720353 721207 721667 722269 722625 723291 723520 723949 725632 725733 726206 728652 730282 736522 736526 736714 736832 737437 738640 739640 741053 743263 744847 744992 745515 746254 746713 748331 751139 751583 752416 752501 753251 756427 757853 759749 762137 762581 766939 768395 772717 775446 776222 778364 778975 779447 780577 780611 780658 780828 782501 783998 784432 785220 786076 789438 790390 793439 794146 795234 795829 797116 800840 801382 804144 804493 804613 805355 806346 806781 806786 807038 812985 813092 819386 823077"
"3-13","53219 53670 73331 77362 120639 148245 154753 180187 205735 253479 291902 292033 299419 306911 307444 308086 310267 322185 322759 335896 343087 363280 371135 373344 378682 393770 416461 464389 497119 499845 507119 529148 536306 579647 584447 587494 592595 595364 595375 595990 604734 605460 610690 611597 615450 617718 618261 619045 620158 621699 622962 622985 623107 623168 623185 623188 623606 624170 626052 627656 630191 630519 630998 633280 634221 634534 636968 637123 637533 639168 641309 642082 643379 644542 645773 646826 646952 650166 651345 653419 659051 659842 662954 664096 665218 665286 666094 666852 667131 667835 668344 669024 669767 670914 672870 673456 678607 682444 683252 683940 684544 689357 690979 691443 692050 693451 693655 694419 695524 696175 697459 698226 700288 700732 702150 702215 704762 704794 705258 705509 705757 705761 706026 706045 706446 706781 706834 707220 707488 711086 711390 711397 715401 715916 716971 717386 718746 718949 720168 720353 720506 720676 721207 721667 722269 722625 723053 723291 723476 723518 723520 723523 723529 723659 723982 724014 724248 724717 724812 725632 725641 725733 726043 726206 727980 728564 728652 729861 730282 731293 736522 736526 736714 736832 737437 738640 739640 741053 743263 744847 744975 744992 745512 745515 746254 746713 747683 748331 748701 749648 750556 750625 750777 751583 752416 752495 752501 753248 753251 754279 756427 757366 757413 757853 759749 761185 761598 762581 762811 763112 763261 763392 765252 766939 768395 771569 773728 775143 775446 776222 778364 778445 778975 779447 780577 780658 782384 782501 783998 784338 784432 785009 785220 787685 788436 789438 790390 793416 793439 794146 795998 797116 801382 801419 804078 804144 804493 804613 806346 806786 807038 812985 813092 814096 823077"
"3-14","53219 73331 87610 102936 154753 180187 198399 205735 271669 305181 310267 322185 322759 339494 361389 373344 400822 464389 514032 521558 529148 533516 536306 541963 552305 574727 579647 588158 592595 595990 604734 605460 609049 610229 610690 613376 615450 617718 619021 619045 620100 620158 621699 622985 622992 623168 623185 623606 623920 624170 626052 626198 626361 630191 630998 634534 636674 637123 637171 637288 639168 640767 641026 641309 642082 643379 644542 646952 650166 651345 654573 658584 659051 659842 662091 662954 664096 665218 666094 667624 667835 668851 669024 670914 672870 673456 677273 677388 678607 680586 683252 683940 684544 689357 690979 691443 692050 693451 693655 693658 694775 695524 697459 700288 700732 702150 702481 702904 704683 704760 704762 705258 705509 705616 705757 705761 706045 706446 706781 707220 707488 708975 711390 715401 715916 717386 718746 720353 720506 720676 721207 721667 722269 722625 723053 723291 723520 723523 724812 725632 725733 726043 726206 729116 731293 736522 736526 736714 736761 736832 737437 738640 739400 739640 740817 741052 741053 743263 743767 744847 744975 744992 745141 745512 745515 746254 746713 746990 748331 748701 749186 750556 750777 751583 752495 753248 753251 754279 755211 755651 756427 757203 757366 757413 757853 758851 758931 759749 762137 762581 762811 762902 763112 763261 763392 765252 766939 767783 768385 768395 770364 771569 772717 773728 775446 776222 776473 777951 778364 778445 778975 779447 780577 780658 780828 782384 782501 783998 784432 785009 785220 786076 787067 787685 787803 788436 789438 790390 793311 793439 794146 794243 795234 795998 797116 797275 797374 798876 801382 804078 804144 804493 804613 805355 806346 806781 806786 812985 813092 814096 816442 819386 823077"
"3-15","53219 53670 73331 80105 95422 102936 131841 135498 139817 142542 148245 154753 180187 205735 271669 291902 292033 305181 306911 308086 310267 332971 335896 339315 339494 371135 373344 378682 384937 393770 398088 398345 400822 401042 411249 425603 464389 465686 471687 482809 495635 521558 529148 533516 536306 537379 556178 564607 574727 576980 579647 584447 587494 588158 592595 593583 595990 604734 605452 605460 610513 610690 612536 615450 616591 617718 619021 619045 619934 620158 621699 622962 622985 623107 623188 623606 624170 626052 626198 626361 627656 630031 630191 633280 634534 636968 637123 637533 639168 642082 643379 644542 646952 650166 656646 657465 659051 659842 662091 662954 665218 665817 666094 667624 667835 668344 670914 678607 680586 682444 683252 684544 689357 693451 696175 697459 702150 702215 702493 702904 704762 704794 705258 705509 705761 706045 706441 706446 706780 706781 707220 708975 711390 711397 711564 715401 715916 718746 720353 720676 721207 721667 722269 722625 723291 723520 725632 725641 725733 726043 726206 729861 731293 736522 736526 736714 736832 737437 738640 739640 739944 740817 741052 741053 744847 744975 744992 745141 745512 745515 746254 746713 746990 748331 748701 749186 749648 749649 750556 750777 751139 751583 751623 752416 752419 752495 752501 753248 753251 754725 754807 755211 755651 755902 756427 756999 757440 757853 758532 758533 758572 758851 758931 759748 759749 760038 760768 760769 760955 761021 761943 762137 762581 762811 762902 763261 765252 766939 768395 771569 772717 772782 773728 775143 775446 776222 776473 777951 778364 778445 778975 779447 780577 780658 782384 782501 783888 783904 783998 784432 785001 785220 785431 786076 787067 787685 787803 788436 789438 790390 792903 793416 793439 794146 794243 795234 795675 795829 795998 797116 797374 798876 800838 800840 801382 801419 803121 804144 804493 804613 806346 806786 807925 812985 813092 814096 819386 821660 823077 823119"
"3-16","45663 46556 53219 53670 73331 142542 148245 154753 180187 205735 265736 306911 310267 322759 335896 339315 361389 363280 371135 373344 378682 393770 395012 416461 471687 481988 482809 484177 495392 495635 507119 509839 521558 528261 529148 533516 536306 537379 552305 553332 576980 579647 584447 587494 588158 593583 595364 595375 595990 599488 604734 605452 605460 610690 611597 612536 613376 613467 614144 616510 617191 617718 619045 619934 620158 621699 622962 622985 623107 623168 623185 623606 624170 626052 626361 626606 627656 630191 630998 633280 633453 634387 634534 635676 636429 636674 636968 637123 637533 639168 641226 641309 642082 643379 644542 646952 650166 657465 659051 659842 662091 662954 665218 666094 667835 668344 668851 670914 677273 678607 680586 682444 682595 683252 683940 684544 689357 690979 693451 695524 697459 702150 702215 702493 702904 704762 704794 704866 705258 705509 705588 705761 706045 706446 706780 706781 707220 708019 711390 711397 711564 711852 715401 715916 716971 717658 718746 720506 720676 721207 721667 722269 722625 723053 723291 724717 725632 725733 726043 726119 726206 736832 737437 738640 740817 741053 744053 744847 744992 745141 745512 745515 746254 746713 747848 748212 748331 748701 749186 749648 749649 750777 752416 752501 753251 754279 754725 756427 757413 757853 758532 758533 758572 758872 759749 760038 760768 760769 760955 761021 761943 762137 762581 762811 762902 763392 763702 765252 766939 767338 767479 767783 768395 771569 771774 772717 772782 774357 774681 775446 776222 776473 778364 778445 778671 778975 779447 780577 780658 780828 782032 782501 782886 783196 783888 783998 784338 784432 785001 785220 785370 787685 787803 788436 789438 790390 792903 792910 793439 793614 794146 794243 795234 795675 795829 797116 797275 797374 798876 800147 800840 801382 801419 803121 803961 804078 804144 804493 804613 805355 805754 806346 806781 806786 807038 807925 810618 812985 813092 814096 816442 816451 816976 817391 817514 818869 819386 819477 821660 822036 822696 823077"
"3-17","53219 131841 154753 291902 322185 363280 373344 393770 400822 416461 471687 529387 536306 541963 576890 579647 588158 593583 595364 595375 604734 605460 610690 612551 616510 618261 619045 619934 620158 621699 622985 623168 624170 626361 627656 630191 630998 633280 634534 635676 637123 637533 639168 641309 642082 643379 644542 646826 646952 650166 657465 659051 659842 661158 662091 662954 665218 666094 667835 668344 668851 669024 673456 678607 684544 689357 690979 691431 693451 695524 697459 700732 702150 702215 702904 704762 704794 705509 705616 705757 706045 706446 706781 707220 708975 711390 711852 715916 717658 718746 720676 722269 722625 723053 724812 725632 725641 725733 726043 726206 732065 735012 736832 737437 738640 741052 744847 744992 745141 745512 745515 746896 748212 749648 749649 750625 750777 752416 752501 753248 753251 754807 756427 756991 757413 757853 758532 758572 759749 760768 761133 762137 762581 762811 762902 763585 765111 766939 767338 767479 768395 771774 772717 772782 774357 775446 776025 776222 777900 777951 778364 778402 778445 778666 778671 778975 779447 780577 780658 782032 782501 783196 783383 783655 783888 783998 785001 785009 785220 785370 786076 787067 787803 788436 789438 790390 792004 792697 792825 792903 792910 793439 793614 794146 794243 795234 795564 795626 795675 795829 795998 797116 797275 798863 800838 800840 801382 801419 803121 803961 804144 804493 804613 805355 805754 806346 806781 806786 807925 808561 810618 812985 813092 813991 814096 814316 814838 815542 815683 816451 817514 818869 819386 819477 821660 821762 822036 822074 822696 823077 823119"
"3-18","154753 306911 371135 395012 579647 584447 588158 595364 604734 605452 610690 612536 616510 617718 619045 619934 620158 622985 623168 624170 626052 630191 630998 634387 634534 635676 637418 639168 644542 646952 650166 656646 657465 658440 662954 665218 666094 667624 667835 668851 669024 678607 680586 682444 693451 695524 697459 702150 702904 704762 705757 706045 706441 706446 706781 707220 711390 715916 717658 718746 720676 722269 723053 725641 725733 726206 736832 737437 738640 739640 744992 745515 749648 750625 753251 756427 757413 757853 758533 760768 762581 762811 763112 763261 764758 766939 767338 768395 771407 772717 776222 777900 778364 778445 778975 779447 780577 780611 780828 782384 782501 783888 783904 783998 785009 785220 785370 787067 787803 788419 788436 789438 789741 789893 790390 790925 790926 790928 791439 791529 791589 792004 792101 792336 792570 792903 792910 793160 793311 793382 793416 793439 793473 793614 793727 794146 795594 795626 795646 795748 795829 795942 795998 797116 798761 798863 798872 800840 801382 801419 803540 804493 804613 805754 806346 806353 806786 807038 807925 808561 810618 812985 813092 814096 815542 816896 816976 817391 818869 819386 819484 820805 821660 821762 822036 822145 823077 823119 825480"
"3-19","395012 619045 622985 634534 635676 637123 639168 644542 646952 650166 654590 662954 665218 669024 695524 701501 702150 706045 706446 707220 711390 718746 721207 722269 726206 736832 744992 753251 756427 759749 760769 763261 767338 768395 772717 774681 776025 780577 783888 783998 785220 785370 788436 788495 789438 790390 790925 791330 792570 793160 793416 793614 795594 795748 795829 795942 801382 801419 801565 801821 803121 803527 803540 803782 803873 804493 804613 806346 806781 806786 808531 810618 812636 812985 813024 813092 813991 815542 815543 816011 816976 817391 817396 817759 818867 820072 820373 820379 820805 821660 822145 823077 823119"
"3-20","619045 622985 634534 639168 644542 646952 650166 662954 665218 669024 695524 702150 706045 706446 708975 718746 720676 722269 725632 726206 736832 744992 745515 756427 758532 762811 767338 768395 772717 776473 780577 785370 786076 788495 789438 790390 790926 792570 792903 793416 793727 794243 795594 795748 795942 798863 798872 803121 804493 804613 806346 806786 807038 808531 810618 812985 813024 813092 815542 815543 815999 816011 816976 817391 817396 819477 819484 819501 819745 819903 820067 820072 820373 820379 820805 821230 821660 821762 822145 822906 822991 823077 823119 825526"
