bugID,daily_crash,daily_user
472331,0,0
504180,0,0
496973,0,0
628152,2.289,0.559
803022,0.249,0.101
355104,0,0
431250,0,0
580913,0.0,0.0
777225,0.056,0.03
631453,0.018,0.013
616117,1.214,0.003
485134,0,0
695848,0.303,0.068
401240,0,0
635519,0.516,0.034
624816,3.08,0.721
623638,0.035,0.011
638074,1.925,0.261
486805,0,0
603918,0.017,0.007
486809,0,0
795728,0.04,0.018
795729,0.0,0.0
687768,0.0,0.0
444813,0,0
745141,0.022,0.013
546301,0.652,0.152
293460,0,0
745142,0.038,0.001
578977,0.0,0.0
336466,0,0
563242,14.91,0.098
624109,0.016,0.008
797982,0.742,0.196
545960,0.0,0.0
676571,0.0,0.0
536614,0,0
536617,0,0
536612,0,0
539474,0.0,0.0
537630,0.0,0.0
441360,0,0
546049,0,0
617649,0.421,0.143
724812,0.013,0.012
491722,0,0
661366,0,0
765671,0.0,0.0
820978,0,0
658479,0.287,0.123
432284,0,0
556620,11.527,0.132
343868,0,0
723659,0.087,0.051
823951,0.041,0.026
391132,0,0
823955,0.041,0.026
628710,1.003,0.2
628711,0.713,0.226
752391,0.369,0.147
768560,3.685,0.565
528798,0,0
790743,0.046,0.028
798383,0.0,0.0
530728,0,0
256297,0,0
470409,0,0
582451,0,0
533395,0,0
595127,1.735,0.063
752176,0.431,0.136
619021,0.011,0.009
521169,0,0
734428,0.008,0.008
94546,0,0
421213,0,0
521164,0,0
644796,0.317,0.118
644790,0,0
156650,0,0
705543,0,0
709479,31.396,0.78
771082,0.0,0.0
601457,0.232,0.029
814736,0.009,0.007
218556,0,0
709474,0.035,0.008
548685,1.286,0.339
272286,0,0
511575,0,0
696018,0.0,0.0
640473,0.002,0.002
597743,0.456,0.057
665683,4.006,0.629
721025,0.079,0.057
611171,0.0,0.0
306319,0,0
599248,0,0
705407,0.0,0.0
629004,0.077,0.033
561264,142.893,0.464
630000,0.003,0.003
789379,151.986,1.374
606860,0,0
811389,0.01,0.007
525517,0,0
822003,0.005,0.004
511757,0,0
511756,0,0
511759,0,0
737118,0.099,0.049
778619,0.284,0.085
355594,0,0
638245,0.0,0.0
764336,0.074,0.035
734129,0.338,0.153
764334,28.841,1.544
816011,0.012,0.001
759706,27.259,1.538
305995,0,0
361835,0,0
361389,0,0
792158,4.674,0.281
162516,0,0
561652,1.183,0.122
673028,1.302,0.428
723894,5.446,0.768
532702,0,0
532700,0,0
653449,7.404,0.774
816263,0.029,0.018
563300,0,0
414451,0,0
377960,0,0
656390,0.026,0.01
327420,0,0
503237,0,0
496011,0,0
489577,0,0
593511,1.634,0.041
382356,0,0
813527,0.008,0.002
354645,0,0
615492,0.195,0.018
536379,0,0
807442,0.019,0.014
720816,11.115,0.873
514589,0,0
389694,0,0
798045,0,0
686177,0.337,0.147
761963,0.054,0.033
505395,0,0
806315,1.318,0.235
555087,0.0,0.0
670429,29.13,1.31
332971,0,0
605744,0.597,0.082
605746,0.904,0.007
646557,0.452,0.026
570774,0,0
702387,3.49,0.548
819481,1.701,0.346
780616,40.074,0.709
377783,0,0
780611,0.365,0.17
80105,0,0
702650,0.095,0.041
439817,0,0
763185,0.471,0.118
345529,0,0
348126,0,0
627092,0.06,0.016
550258,0.397,0.127
340733,0,0
494714,0,0
627099,0.0,0.0
488046,0,0
517233,0,0
801117,0.0,0.0
700493,37.232,1.717
763237,5.377,0.32
791826,0.329,0.115
613436,61.174,1.894
613439,0.276,0.071
557728,0,0
676499,0.015,0.012
676492,60.322,3.504
641026,13.069,0.453
676494,0.017,0.012
806174,0.966,0.27
806175,16.159,0.699
749958,0.008,0.002
387460,0,0
351964,0,0
621009,0.306,0.115
675158,0,0
626052,2.184,0.255
561019,0.0,0.0
734948,1.072,0.111
537406,0,0
539138,0,0
495392,0,0
737942,0.358,0.144
528368,0,0
708715,2.878,0.57
708248,50.018,1.227
548274,1.691,0.2
516182,0,0
696386,0.0,0.0
658645,0,0
658649,0.01,0.008
623147,0,0
546565,0.0,0.0
543042,0,0
760768,0.005,0.005
760769,0.0,0.0
794243,0.225,0.037
724014,0.0,0.0
819291,0.013,0.007
782501,0.65,0.221
168523,0,0
752416,0.006,0.005
604653,0.056,0.003
543593,0.0,0.0
313173,0,0
744975,0.264,0.068
637078,3.199,0.652
778445,0.307,0.144
569049,0.369,0.06
525725,0,0
731812,24.978,0.361
731813,21.614,1.262
557932,0.928,0.093
584303,1.014,0.079
680475,0.836,0.243
598190,10.582,0.114
439382,0,0
369757,0,0
540243,0.0,0.0
547210,0.02,0.02
713486,7.579,0.819
560083,7.38,0.287
478478,0,0
671250,3.698,0.717
612447,0,0
503391,0,0
607305,5.495,0.381
460042,0,0
647400,47.101,0.103
538267,0.0,0.0
819035,0.0,0.0
668965,3.108,0.31
383977,0,0
819745,0.0,0.0
635756,1.132,0.11
639225,14.988,0.121
680396,0,0
707147,0.234,0.066
552616,0.0,0.0
635532,0.019,0.017
700288,0.543,0.036
458645,0,0
602373,1.86,0.047
638058,0.096,0.08
635539,0,0
402034,0,0
389194,0,0
560796,0.324,0.045
557557,12.229,0.083
647890,4.643,0.041
622962,3.046,0.238
667824,0,0
531125,0,0
545943,0,0
684598,0.049,0.005
583952,0.364,0.033
806781,0.399,0.132
806786,2.434,0.021
657585,0.0,0.0
657587,8.835,1.022
671271,0.077,0.023
676550,0.002,0.002
671276,0.261,0.141
548545,0.0,0.0
668565,5.469,0.69
302536,0,0
669894,2.957,0.389
600953,4.67,0.125
645361,0.027,0.024
645364,0,0
649795,0.085,0.026
817290,0.002,0.002
270042,0,0
604528,0.0,0.0
538687,0.0,0.0
353264,0,0
808349,0.009,0.004
723676,0.225,0.054
606119,0,0
622291,0,0
622294,0.43,0.008
626606,2.057,0.164
474080,0,0
626608,0.188,0.039
683664,0.005,0.005
470649,0,0
668945,0.0,0.0
245310,0,0
162691,0,0
587339,0.0,0.0
160182,0,0
538724,0.0,0.0
538722,0.0,0.0
685625,0.308,0.088
536960,0,0
628735,1.203,0.131
609687,4.695,0.114
622039,0.752,0.077
637267,0.047,0.026
637268,0.946,0.37
637269,0.946,0.37
578045,22.363,0.264
599618,0,0
611543,0.01,0.006
549911,0.71,0.032
549914,0.419,0.065
367285,0,0
534672,0,0
655451,0.0,0.0
534676,0,0
596484,0.0,0.0
657962,0.205,0.099
664916,1.088,0.278
664919,0,0
705562,0.078,0.063
619048,5.213,0.632
605826,16.625,0.809
484932,0,0
787818,0,0
698296,0.094,0.051
695666,0.638,0.256
619043,4.917,0.767
619046,4.678,0.667
787810,0.888,0.23
619044,4.167,0.316
619045,7.667,0.675
671960,1.111,0.257
682538,0.23,0.076
620521,0.003,0.003
727753,1.682,0.499
727759,0.001,0.001
795308,1.394,0.189
351116,0,0
607469,0.0,0.0
598052,69.304,0.365
792626,17.227,1.029
694968,2.412,0.264
785629,1.18,0.366
495567,0,0
650639,0.057,0.017
725280,0.099,0.025
764171,0.489,0.24
760811,0.006,0.005
523263,0,0
523260,0,0
807976,0.043,0.025
