signature,entropy,frequency,bug_count
libsystem_c.dylib@0xa2358,0.19054167802809835,34,1
js_TraceContext,0.6078280395847122,804,1
"js::InvokeCommon<int (__cdecl*)(JSContext*, JSObject*, unsigned int, js::Value*, js::Value*)>",0.2035943294105117,8,1
ExecuteTree,0.5161524168808387,181,3
JSAtomListIterator::operator()(),0.2751604638318496,14,1
"XPCNativeSet::NewInstance(XPCCallContext&, XPCNativeInterface**, unsigned short)",0.08143773176420468,2,1
mozilla::storage::AsyncExecuteStatements::Run(),0.2878187806428346,23,1
HashString(nsAString_internal const&),0.31557121058629317,16,2
nsCoreUtils::IsRootDocument(nsIDocument*),0.0,1,1
js_NewRegExp,0.2512323486363596,12,1
nsSplittableFrame::RemoveFromFlow(nsIFrame*),0.45697009878382533,74,1
__NSThreadPerformPerform,0.15651746466152594,5,1
NS_AsyncCopy,0.0,1,1
jvm.dll@0x5e6b2,0.5460004667318746,676,1
"_ThemeDefWindowProc(HWND__*, unsigned int, unsigned int, long, int)",0.1290757509900526,3,1
WPUModifyIFSHandle,0.16041732931417152,17,1
gfxContext::NewPath,0.48486027957263483,260,2
nsGlobalWindow::GetInnerWidth,0.0,1,1
nsTHashtable<mozilla::FrameLayerBuilder::ThebesLayerItemsEntry>::s_ClearEntry,0.0,1,1
"js_MonitorLoopEdge(JSContext*, unsigned int&)",0.2964515798868058,15,3
F733812712___________________________________________________________________,0.36591052401074126,36,1
Flash Player@0x4cf38a,0.11164710677317627,5,1
npjava11.dll@0x1674,0.0,1,1
XMLSocketDestroyFunc,0.5062981305773738,168,1
sqlite3VdbeExec,0.5355318425140084,325,4
libc-2.13.so@0x32405,0.0,3,2
avmplus::BitSet::grow(int),0.18909255736720781,5,1
nsXULPrototypeCache::WritePrototype(nsXULPrototypeDocument*),0.48131650941463977,104,2
js_Interpret:904,0.24431319529261405,8,2
hang | F_855855466_____________________,0.6272101343133786,2501,1
hang | F1786948743_______________________________,0.5274241212825395,128,1
npwinext.dll@0x33c79,0.08143773176420468,2,1
mozilla::net::WebSocketChannel::OnInputStreamReady(nsIAsyncInputStream*),0.08143773176420468,2,1
"VMR9::PaintSurfaceBlack(VMR9::IDirect3DSurface9*, VMR9::_D3DSURFACE_DESC const&, int)",0.18909255736720781,5,1
nsXBLBinding::GenerateAnonymousContent(),0.21984228483611282,14,1
"JSCompartment::wrap(JSContext*, js::Value*)",0.6047749733123263,1292,2
"hang | mozilla::plugins::PPluginModuleParent::CallNPP_ClearSiteData(nsCString const&, unsigned __int64 const&, unsigned __int64 const&, short*)",0.4075865769416906,44,1
InterlockedDecrement,0.474621867288961,149,2
RtlpWaitOnCriticalSection | EtwEventEnabled | nvlsp.dll@0x5ced,0.43392300085089947,515,1
"nsGlobalWindow::QueryInterface(nsID const&, void**)",0.34966598753333644,25,1
IsAboutToBeFinalized(void*),0.3861259146706378,33,1
"GetHeightOfRowsSpannedBelowFirst(nsTableCellFrame&, nsTableFrame&)",0.0,1,1
"je_free | js::gc::Arena::finalize<JSString>(JSContext*, js::gc::AllocKind, unsigned int)",0.5287649985064433,290,2
@0x0 | nsGenericElement::nsDOMSlots::~nsDOMSlots(),0.16287546352840937,4,1
"nsCanvasRenderingContext2DAzure::GetImageData_explicit(int, int, unsigned int, unsigned int, unsigned char*, unsigned int)",0.08143773176420468,2,1
objc_msgSend | CanonIJPDE@0x1531e,0.1860167383607238,12,1
