bugID,hour,week_day,month_day,month,year_day,component,title_size,platform,severity,priority,cc_count,comment_size,invalid_status,is_closed,patch_count,fixing_time,reopened_count,triaging_time,uptime,developer_count,reporter_exp,assignee_exp,region
100216,17,Mon,17,Sep,260,117,4,x86,critical,--,4,77,NO,1,1,48,0,0.02,3137.0,7,1,1,isolated
100222,18,Mon,17,Sep,260,119,26,PowerPC,critical,--,4,95,NO,1,1,47,0,-1,30.0,8,2,1,moderate
102585,14,Mon,1,Oct,274,23,16,All,normal,P1,14,161,NO,1,2,4969,0,22.98,107.0,16,1,1,isolated
102936,11,Wed,3,Oct,276,186,5,All,critical,P1,12,53,NO,1,1,3,0,0.02,721.5,14,1,1,isolated
106097,14,Mon,22,Oct,295,186,7,x86,critical,P1,3,119,NO,1,2,1060,0,0.12,20.0,7,1,2,isolated
106650,4,Thu,25,Oct,298,71,10,x86,critical,--,15,117,NO,1,3,36,0,1.23,11.0,13,1,1,isolated
107545,7,Tue,30,Oct,303,23,10,x86,critical,P1,7,85,YES,1,3,2187,2,57.12,226.0,16,1,1,isolated
108098,16,Thu,1,Nov,305,37,7,x86,critical,--,12,91,YES,1,0,55831,0,97.1,1.0,17,2,1,isolated
110395,19,Thu,15,Nov,319,39,5,x86,critical,P3,5,49,YES,1,0,2246,1,-1,264.0,6,3,1,isolated
117088,9,Thu,27,Dec,361,23,13,x86,critical,--,16,52,YES,1,0,839,1,15.09,265.0,17,2,1,isolated
119693,11,Sat,12,Jan,12,53,6,x86,critical,P2,36,137,YES,1,2,2733,1,-1,43.0,34,2,1,isolated
121860,9,Fri,25,Jan,25,41,14,All,critical,P1,26,119,NO,1,2,78,0,0.27,450.0,18,1,1,isolated
133009,8,Sat,23,Mar,82,298,8,x86,critical,P2,5,139,YES,1,0,51,1,-1,226.0,11,1,1,isolated
133548,10,Tue,26,Mar,85,111,7,x86,critical,P2,4,170,YES,1,0,25756,0,755.51,11.0,7,1,1,isolated
134437,13,Sat,30,Mar,89,23,13,x86,critical,P1,9,175,NO,1,4,824,0,5.0,704.0,15,1,2,moderate
134769,18,Mon,1,Apr,91,168,12,x86,critical,--,7,135,NO,1,3,325,0,7.53,4698.5,14,1,2,isolated
135345,19,Wed,3,Apr,93,36,18,x86,critical,--,9,123,YES,1,2,284,1,-1,233.0,13,1,1,skewed
135498,12,Thu,4,Apr,94,204,11,x86,critical,P1,14,147,NO,1,0,2641,0,-1,82.0,15,1,2,isolated
135868,18,Fri,5,Apr,95,150,13,x86,critical,--,12,154,NO,1,2,109,0,2.75,1.0,13,1,1,isolated
